school,title,depth,link,keywords,previous
http://parents.isecampus.nl/Flex/Som/Login.aspx?PageID=1689,"
	Portal -  Login
",[0],http://parents.isecampus.nl/Flex/Som/Login.aspx?PageID=1689,Login_Password_User,http://parents.isecampus.nl/Flex/Som/Login.aspx?PageID=1689
http://parents.isecampus.nl/Flex/Som/Login.aspx?PageID=1689,"
	 Home
",[1],http://www.stedelijkcollege.nl/Flex/Site/Page.aspx?PageID=&Lang=,platform,http://parents.isecampus.nl/Flex/Som/Login.aspx?PageID=1689
http://parents.isecampus.nl/Flex/Som/Login.aspx?PageID=1689,"
	International School Eindhoven About the ISE
",[1],http://www.isecampus.nl/Flex/Site/Page.aspx?PageID=&Lang=,portal_PORTAL,http://parents.isecampus.nl/Flex/Som/Login.aspx?PageID=1689
http://parents.isecampus.nl/Flex/Som/Login.aspx?PageID=1689,"
	International School Eindhoven newsletter subscription form
",[2],http://www.isecampus.nl/Flex/Site/Page.aspx?PageID=7523&Lang=UK,portal_PORTAL,http://tilburg.isecampus.nl/Flex/Site/Page.aspx?PageID=&Lang=
http://parents.isecampus.nl/Flex/Som/Login.aspx?PageID=1689,"
	 Raad van Toezicht
",[2],http://www.stedelijkcollege.nl/Flex/Site/Page.aspx?PageID=832&Lang=NL,platform,http://www.stedelijkcollege.nl/Flex/Site/Page.aspx?PageID=&Lang=
http://parents.isecampus.nl/Flex/Som/Login.aspx?PageID=1689,"
	 Home
",[2],http://stedelijkcollege.nl/Flex/Site/Page.aspx?PageID=&Lang=,platform,http://www.stedelijkcollege.nl/Flex/Site/Page.aspx?PageID=&Lang=
http://parents.isecampus.nl/Flex/Som/Login.aspx?PageID=1689,"
	Portaal -  Log in
",[2],https://ouders.stedelijkcollege.nl:443/Flex/Som/Login.aspx?PageID=1584,Login_Log in,http://www.stedelijkcollege.nl/Flex/Site/Page.aspx?PageID=&Lang=
http://parents.isecampus.nl/Flex/Som/Login.aspx?PageID=1689,"
	Portaal -  Log in
",[2],https://leerlingen.stedelijkcollege.nl:443/Flex/Som/Login.aspx?PageID=1572,Login_Log in,http://www.stedelijkcollege.nl/Flex/Site/Page.aspx?PageID=&Lang=
http://parents.isecampus.nl/Flex/Som/Login.aspx?PageID=1689,"
	 Open Dagen en Aanmelding
",[2],http://www.stedelijkcollege.nl/Flex/Site/Page.aspx?PageID=10143&Lang=NL,platform,http://www.stedelijkcollege.nl/Flex/Site/Page.aspx?PageID=&Lang=
http://parents.isecampus.nl/Flex/Som/Login.aspx?PageID=1689,"
	 Medezeggenschap
",[2],http://www.stedelijkcollege.nl/Flex/Site/Page.aspx?PageID=833&Lang=NL,platform_portal,http://www.stedelijkcollege.nl/Flex/Site/Page.aspx?PageID=&Lang=
